chirp_index,bits,floor_mse,pass_0p005
1,2,0.91192717116,false
1,3,0.0964028825215,false
1,4,0.0172898019719,false
1,5,0.00385042231689,true
1,6,0.000891330083552,true
1,7,0.000206677627636,true
1,8,5.35940676203e-05,true
2,2,0.91192717116,false
2,3,0.0964028825215,false
2,4,0.0172898019719,false
2,5,0.00385042231689,true
2,6,0.000891330083552,true
2,7,0.000206677627636,true
2,8,5.35940676203e-05,true
3,2,0.91192717116,false
3,3,0.0964028825215,false
3,4,0.0172898019719,false
3,5,0.00385042231689,true
3,6,0.000891330083552,true
3,7,0.000206677627636,true
3,8,5.35940676203e-05,true
4,2,0.91192717116,false
4,3,0.0964028825215,false
4,4,0.0172898019719,false
4,5,0.00385042231689,true
4,6,0.000891330083552,true
4,7,0.000206677627636,true
4,8,5.35940676203e-05,true
