bits,round_mse,floor_mse,round_pass_0p005,floor_pass_0p005
2,0.186578390405,0.91192717116,false,false
3,0.0231552355281,0.0964028825215,false,false
4,0.00387566161969,0.0172898019719,true,false
5,0.000944631027364,0.00385042231689,true,true
6,0.000230739042199,0.000891330083552,true,true
7,4.74192115977e-05,0.000206677627636,true,true
8,1.36293703087e-05,5.35940676203e-05,true,true
